motif	cluster	gene_symbol
HIF1A_MA1106.2	C_Mlxip	Hif1a
HINFP_MA0131.3	C_HINFP	Hinfp
HLF_MA0043.4	C_DBP	Hlf
HMBOX1_MA0895.2	C_HMBOX1	Hmbox1
Hmga1_MA2124.1	C_Hmga1	Hmga1
Hmx1_MA0896.2	C_Hmx3	Hmx1
Hmx2_MA0897.2	C_Hmx3	Hmx2
Hmx3_MA0898.2	C_Hmx3	Hmx3
HNF1A_MA0046.3	C_HNF1A	Hnf1a
Hnf1A_MA1991.2	C_Hnf1A	Hnf1a
HNF1B_MA0153.2	C_HNF1A	Hnf1b
HNF4A_MA0114.5	C_HNF4G	Hnf4a
HNF4A_MA1494.2	C_HNF4A	Hnf4a
HNF4G_MA0484.3	C_HNF4G	Hnf4g
HOXA1_MA1495.2	C_mix-a	Hoxa1
HOXA10_MA0899.2	C_HOXA10	Hoxa10
Hoxa11_MA0911.2	C_HOXC10	Hoxa11
Hoxa13_MA0650.4	C_HOXB13	Hoxa13
HOXA2_MA0900.3	C_mix-a	Hoxa2
HOXA3_MA2119.1	C_mix-a	Hoxa3
HOXA4_MA1496.2	C_HOXB4	Hoxa4
HOXA5_MA0158.2	C_HOXB7	Hoxa5
HOXA6_MA1497.2	C_HOXB7	Hoxa6
HOXA7_MA1498.3	C_Dlx2	Hoxa7
HOXA9_MA0594.3	C_HOXA9	Hoxa9
HOXB1_MA2093.1	C_mix-a	Hoxb1
HOXB13_MA0901.3	C_HOXB13	Hoxb13
HOXB2_MA0902.3	C_mix-a	Hoxb2
HOXB2ELK1_MA1957.1	C_FLI1::DRGX	Hoxb2::Elk1
HOXB3_MA0903.2	C_mix-a	Hoxb3
HOXB4_MA1499.2	C_HOXB4	Hoxb4
HOXB5_MA0904.3	C_mix-a	Hoxb5
HOXB6_MA1500.2	C_HOXB7	Hoxb6
HOXB7_MA1501.2	C_HOXB7	Hoxb7
HOXB8_MA1502.2	C_HOXB7	Hoxb8
HOXB9_MA1503.2	C_HOXC10	Hoxb9
HOXC10_MA0905.2	C_HOXC10	Hoxc10
HOXC11_MA0651.3	C_HOXC10	Hoxc11
HOXC12_MA0906.2	C_HOXC10	Hoxc12
HOXC13_MA0907.2	C_HOXC13	Hoxc13
HOXC4_MA1504.2	C_HOXB4	Hoxc4
HOXC8_MA1505.2	C_mix-a	Hoxc8
HOXC9_MA0485.3	C_HOXC10	Hoxc9
HOXD10_MA1506.2	C_HOXC10	Hoxd10
HOXD11_MA0908.2	C_HOXC10	Hoxd11
HOXD12_MA0873.2	C_HOXC10	Hoxd12
HOXD12ELK1_MA1958.2	C_HOXD12::ELK1	Hoxd12::Elk1
Hoxd13_MA0909.4	C_HOXB13	Hoxd13
HOXD3_MA0912.2	C_mix-a	Hoxd3
HOXD4_MA1507.2	C_mix-a	Hoxd4
HOXD8_MA0910.3	C_HOXB7	Hoxd8
HOXD9_MA0913.3	C_HOXA10	Hoxd9
HSF1_MA0486.2	C_HSF2	Hsf1
HSF2_MA0770.1	C_HSF2	Hsf2
HSF4_MA0771.1	C_HSF2	Hsf4
IKZF1_MA1508.2	C_IKZF1	Ikzf1
IKZF2_MA2326.1	C_IKZF2	Ikzf2
Ikzf3_MA1992.2	C_GABPA	Ikzf3
INSM1_MA0155.1	C_INSM1	Insm1
Irf1_MA0050.4	C_Stat2	Irf1
IRF2_MA0051.2	C_IRF2	Irf2
IRF3_MA1418.2	C_IRF3	Irf3
IRF4_MA1419.2	C_STAT1::STAT2	Irf4
IRF5_MA1420.1	C_IRF5	Irf5
IRF6_MA1509.1	C_IRF6	Irf6
IRF7_MA0772.2	C_IRF7	Irf7
IRF8_MA0652.2	C_STAT1::STAT2	Irf8
IRF9_MA0653.1	C_STAT1::STAT2	Irf9
Isl1_MA1608.2	C_Isl1	Isl1
ISL2_MA0914.2	C_Nkx3-2	Isl2
ISX_MA0654.2	C_mix-a	Isx
JDP2_MA0655.1	C_FOS::JUND	Jdp2
JDP2_MA0656.2	C_FOSL2::JUN	Jdp2
JUN_MA0488.2	C_FOSL2::JUN	Jun
Jun_MA0489.3	C_FOS::JUND	Jun
JUNB_MA0490.3	C_FOS::JUND	Junb
JUNB_MA1140.3	C_FOSL2::JUN	Junb
JUND_MA0491.3	C_FOS::JUND	Jund
JUND_MA0492.2	C_FOSL2::JUN	Jund
JUNJUNB_MA1132.2	C_FOS::JUND	Jun::Junb
JUNJUNB_MA1133.2	C_FOSL2::JUN	Jun::Junb
KLF1_MA0493.3	C_KLF5	Klf1
KLF10_MA1511.2	C_KLF5	Klf10
KLF11_MA1512.2	C_SP3	Klf11
KLF12_MA0742.2	C_KLF5	Klf12
KLF13_MA0657.2	C_KLF13	Klf13
KLF14_MA0740.2	C_KLF5	Klf14
KLF15_MA1513.2	C_KLF5	Klf15
KLF16_MA0741.1	C_SP3	Klf16
KLF17_MA1514.2	C_KLF17	Klf17
KLF2_MA1515.2	C_KLF5	Klf2
KLF3_MA1516.2	C_KLF3	Klf3
KLF4_MA0039.5	C_KLF5	Klf4
KLF5_MA0599.1	C_KLF5	Klf5
KLF6_MA1517.2	C_KLF9	Klf6
KLF7_MA1959.2	C_KLF5	Klf7
KLF9_MA1107.3	C_KLF9	Klf9
LBX1_MA0618.2	C_PRRX2	Lbx1
LBX2_MA0699.2	C_mix-a	Lbx2
Lef1_MA0768.3	C_Hnf1A	Lef1
Lhx1_MA1518.3	C_Lhx1	Lhx1
LHX2_MA0700.3	C_Dlx2	Lhx2
Lhx3_MA0135.2	C_Lhx3	Lhx3
Lhx4_MA0704.2	C_mix-a	Lhx4
LHX5_MA1519.2	C_mix-a	Lhx5
LHX6_MA0658.2	C_mix-a	Lhx6
Lhx8_MA0705.2	C_mix-a	Lhx8
LHX9_MA0701.3	C_PRRX2	Lhx9
LIN54_MA0619.2	C_LIN54	Lin54
LMX1A_MA0702.3	C_mix-a	Lmx1a
LMX1B_MA0703.3	C_mix-a	Lmx1b
MAF_MA1520.2	C_MAFA	Maf
MAFA_MA1521.2	C_MAFA	Mafa
Mafb_MA0117.3	C_MAFF	Mafb
MAFF_MA0495.4	C_MAFF	Maff
Mafg_MA0659.4	C_MAFG::NFE2L1	Mafg
MAFGNFE2L1_MA0089.3	C_MAFG::NFE2L1	Mafg::Nfe2L1
MAFK_MA0496.4	C_MAFG::NFE2L1	Mafk
MAFNFE2_MA0501.2	C_MAFG::NFE2L1	Maf::Nfe2
MAX_MA0058.4	C_Mlxip	Max
MAXMYC_MA0059.2	C_MAX::MYC	Max::Myc
MAZ_MA1522.2	C_PATZ1	Maz
Mecom_MA0029.2	C_Mecom	Mecom
MEF2A_MA0052.5	C_MEF2D	Mef2a
MEF2B_MA0660.1	C_MEF2D	Mef2b
MEF2C_MA0497.2	C_MEF2D	Mef2c
MEF2D_MA0773.1	C_MEF2D	Mef2d
MEIS1_MA0498.3	C_MEIS1	Meis1
MEIS1_MA1639.2	C_PBX2	Meis1
MEIS2_MA0774.1	C_MEIS1	Meis2
MEIS2_MA1640.2	C_PBX2	Meis2
MEIS3_MA0775.2	C_MEIS1	Meis3
MEOX1_MA0661.2	C_mix-a	Meox1
MEOX2_MA0706.2	C_mix-a	Meox2
MGA_MA0801.1	C_TBX2	Mga
MGAEVX1_MA1960.2	C_MGA::EVX1	Mga::Evx1
MITF_MA0620.4	C_BHLHE41	Mitf
mix-a_MA0621.2	C_mix-a	mix-a
MIXL1_MA0662.2	C_mix-a	Mixl1
MLX_MA0663.1	C_ARNT2	Mlx
Mlxip_MA0622.2	C_Mlxip	Mlxip
MLXIPL_MA0664.2	C_ARNT2	Mlxipl
MNT_MA0825.2	C_Mlxip	Mnt
MNX1_MA0707.3	C_mix-a	Mnx1
MSANTD3_MA1523.2	C_MSANTD3	Msantd3
MSC_MA0665.1	C_Tcf21	Msc
Msgn1_MA1524.3	C_Msgn1	Msgn1
MSX1_MA0666.3	C_Dlx2	Msx1
MSX2_MA0708.3	C_Dlx2	Msx2
Msx3_MA0709.2	C_Dlx2	Msx3
MTF1_MA0863.1	C_MTF1	Mtf1
MXI1_MA1108.3	C_MXI1	Mxi1
MYB_MA0100.4	C_MYB	Myb
MYBL1_MA0776.1	C_MYBL1	Mybl1
MYBL2_MA0777.1	C_MYBL2	Mybl2
MYC_MA0147.4	C_Mlxip	Mga::Evx1
MYCN_MA0104.5	C_Mlxip	Mycn
MYF5_MA1641.2	C_Twist2	Myf5
MYF6_MA0667.1	C_MYF6	Myf6
MYOD1_MA0499.3	C_MYOD1	Myod1
MYOG_MA0500.3	C_Twist2	Myog
MZF1_MA0056.3	C_MZF1	Mzf1
Nanog_MA2339.1	C_Nanog	Nanog
NEUROD1_MA1109.2	C_NEUROD1	Neurod1
Neurod2_MA0668.3	C_NEUROD1	Neurod2
Neurod2_MA1993.2	C_Twist2	Neurod2
NEUROG1_MA0623.2	C_ATOH7	Neurog1
NEUROG2_MA0669.1	C_NEUROG2	Neurog2
NEUROG2_MA1642.2	C_NEUROD1	Neurog2
Nfat5_MA0606.3	C_Nfat5	Nfat5
Nfatc1_MA0624.3	C_NFATC3	Nfatc1
Nfatc2_MA0152.3	C_Nfatc2	Nfatc2
NFATC3_MA0625.3	C_NFATC3	Nfatc3
NFATC4_MA1525.3	C_NFATC3	Nfatc4
NFE2_MA0841.2	C_FOS::JUND	Nfe2
Nfe2l2_MA0150.3	C_MAFG::NFE2L1	Nfe2l2
NFIA_MA0670.2	C_NFIA	Nfia
NFIB_MA1643.2	C_NFIB	Nfib
NFIC_MA0161.3	C_NFIA	Nfic
NFIC_MA1527.2	C_NFIB	Nfic
NFICTLX1_MA0119.1	C_NFIB	Nfic::Tlx1
NFIL3_MA0025.3	C_DBP	Nfil3
NFIX_MA0671.2	C_NFIA	Nfix
NFIX_MA1528.2	C_NFIB	Nfix
NFKB1_MA0105.4	C_NFKB2	Nfkb1
NFKB2_MA0778.2	C_NFKB2	Nfkb2
NFYA_MA0060.4	C_NFYC	Nfya
NFYB_MA0502.3	C_NFYB	Nfyb
NFYC_MA1644.2	C_NFYC	Nfyc
NHLH1_MA0048.3	C_Twist2	Nhlh1
NHLH2_MA1529.2	C_NHLH2	Nhlh2
Nkx2-1_MA1994.2	C_Nkx2-1	Nkx2-1
NKX2-2_MA1645.2	C_NKX2-2	Nkx2-2
NKX2-3_MA0672.2	C_Nkx2-1	Nkx2-3
NKX2-4_MA2003.2	C_Nkx2-1	Nkx2-4
NKX2-5_MA0063.3	C_NKX2-5	Nkx2-5
NKX2-8_MA0673.2	C_Nkx2-1	Nkx2-8
Nkx3-1_MA0124.3	C_Nkx3-2	Nkx3-1
Nkx3-2_MA0122.4	C_Nkx3-2	Nkx3-2
NKX6-1_MA0674.2	C_NKX6-1	Nkx6-1
NKX6-2_MA0675.2	C_mix-a	Nkx6-2
NKX6-3_MA1530.2	C_HOXB4	Nkx6-3
Nobox_MA0125.2	C_Dlx2	Nobox
NOTO_MA0710.2	C_mix-a	Noto
Npas2_MA0626.2	C_Mlxip	Npas2
